,pos,left,right,up,down
46,"(7, 7)",,,"(7, 6)","(7, 8)"
47,"(7, 8)",,,"(7, 7)","(7, 9)"
48,"(7, 9)","(6, 9)","(8, 9)","(7, 8)","(7, 10)"
49,"(7, 10)",,,"(7, 9)","(7, 11)"
50,"(7, 11)",,,"(7, 10)","(7, 12)"
51,"(7, 12)","(6, 12)",,"(7, 11)","(7, 13)"
52,"(7, 13)",,,"(7, 12)","(7, 14)"
53,"(7, 14)",,,"(7, 13)","(7, 15)"
54,"(7, 15)",,,"(7, 14)","(7, 16)"
55,"(7, 16)",,,"(7, 15)","(7, 17)"
56,"(7, 17)",,,"(7, 16)","(7, 18)"
57,"(7, 18)","(6, 18)","(8, 18)","(7, 17)","(7, 19)"
58,"(7, 19)",,,"(7, 18)","(7, 20)"
59,"(7, 20)",,,"(7, 19)","(7, 21)"
60,"(7, 21)",,,"(7, 20)","(7, 22)"
61,"(7, 22)",,,"(7, 21)","(7, 23)"
62,"(7, 23)",,,"(7, 22)","(7, 24)"
63,"(7, 24)","(6, 24)","(8, 24)","(7, 23)","(7, 25)"
64,"(7, 25)",,,"(7, 24)","(7, 26)"
65,"(7, 26)",,,"(7, 25)","(7, 27)"
66,"(7, 27)",,"(8, 27)","(7, 26)","(7, 28)"
67,"(7, 28)",,,"(7, 27)","(7, 29)"
68,"(7, 29)",,,"(7, 28)","(7, 30)"
69,"(7, 30)",,,"(7, 29)","(7, 31)"
70,"(7, 31)",,,"(7, 30)","(7, 32)"
71,"(7, 32)",,,"(7, 31)","(7, 33)"
72,"(7, 33)","(6, 33)","(8, 33)","(7, 32)",
73,"(8, 5)","(7, 5)","(9, 5)",,
74,"(8, 9)","(7, 9)","(9, 9)",,
75,"(8, 18)","(7, 18)","(9, 18)",,
76,"(8, 24)","(7, 24)","(9, 24)",,
77,"(8, 27)","(7, 27)","(9, 27)",,
78,"(8, 33)","(7, 33)","(9, 33)",,
79,"(9, 5)","(8, 5)","(10, 5)",,
80,"(9, 9)","(8, 9)","(10, 9)",,
81,"(9, 18)","(8, 18)","(10, 18)",,
82,"(9, 24)","(8, 24)","(10, 24)",,
83,"(9, 27)","(8, 27)","(10, 27)",,
84,"(9, 33)","(8, 33)","(10, 33)",,
85,"(10, 5)","(9, 5)","(11, 5)",,
86,"(10, 9)","(9, 9)","(11, 9)",,"(10, 10)"
87,"(10, 10)",,,"(10, 9)","(10, 11)"
88,"(10, 11)",,,"(10, 10)","(10, 12)"
89,"(10, 12)",,"(11, 12)","(10, 11)",
90,"(10, 15)",,"(11, 15)",,"(10, 16)"
91,"(10, 16)",,,"(10, 15)","(10, 17)"
92,"(10, 17)",,,"(10, 16)","(10, 18)"
93,"(10, 18)","(9, 18)",,"(10, 17)","(10, 19)"
94,"(10, 19)",,,"(10, 18)","(10, 20)"
95,"(10, 20)",,,"(10, 19)","(10, 21)"
96,"(10, 21)",,"(11, 21)","(10, 20)","(10, 22)"
97,"(10, 22)",,,"(10, 21)","(10, 23)"
98,"(10, 23)",,,"(10, 22)","(10, 24)"
99,"(10, 24)","(9, 24)","(11, 24)","(10, 23)",
100,"(10, 27)","(9, 27)","(11, 27)",,
101,"(10, 33)","(9, 33)","(11, 33)",,
102,"(11, 5)","(10, 5)","(12, 5)",,
103,"(11, 9)","(10, 9)","(12, 9)",,
104,"(11, 12)","(10, 12)","(12, 12)",,
105,"(11, 15)","(10, 15)","(12, 15)",,
106,"(11, 21)","(10, 21)","(12, 21)",,
107,"(11, 24)","(10, 24)","(12, 24)",,
108,"(11, 27)","(10, 27)","(12, 27)",,
109,"(11, 33)","(10, 33)","(12, 33)",,
110,"(12, 5)","(11, 5)","(13, 5)",,
111,"(12, 9)","(11, 9)","(13, 9)",,
112,"(12, 12)","(11, 12)","(13, 12)",,
113,"(12, 15)","(11, 15)","(13, 15)",,
114,"(12, 17)",,"(13, 17)",,"(12, 18)"
115,"(12, 18)",,"(13, 18)","(12, 17)","(12, 19)"
116,"(12, 19)",,"(13, 19)","(12, 18)",
117,"(12, 21)","(11, 21)","(13, 21)",,
118,"(12, 24)","(11, 24)","(13, 24)",,
119,"(12, 27)","(11, 27)","(13, 27)",,
120,"(12, 33)","(11, 33)","(13, 33)",,
121,"(13, 5)","(12, 5)",,,"(13, 6)"
122,"(13, 6)",,,"(13, 5)","(13, 7)"
123,"(13, 7)",,,"(13, 6)","(13, 8)"
124,"(13, 8)",,,"(13, 7)","(13, 9)"
125,"(13, 9)","(12, 9)","(14, 9)","(13, 8)",
126,"(13, 12)","(12, 12)",,,"(13, 13)"
127,"(13, 13)",,,"(13, 12)","(13, 14)"
128,"(13, 14)",,,"(13, 13)","(13, 15)"
129,"(13, 15)","(12, 15)","(14, 15)","(13, 14)",
130,"(13, 17)","(12, 17)","(14, 17)",,"(13, 18)"
131,"(13, 18)","(12, 18)","(14, 18)","(13, 17)","(13, 19)"
132,"(13, 19)","(12, 19)","(14, 19)","(13, 18)",
133,"(13, 21)","(12, 21)","(14, 21)",,
134,"(13, 24)","(12, 24)",,,"(13, 25)"
135,"(13, 25)",,,"(13, 24)","(13, 26)"
136,"(13, 26)",,,"(13, 25)","(13, 27)"
137,"(13, 27)","(12, 27)","(14, 27)","(13, 26)",
138,"(13, 33)","(12, 33)","(14, 33)",,
139,"(14, 9)","(13, 9)","(15, 9)",,
140,"(14, 15)","(13, 15)","(15, 15)",,"(14, 16)"
141,"(14, 16)",,"(15, 16)","(14, 15)","(14, 17)"
142,"(14, 17)","(13, 17)","(15, 17)","(14, 16)","(14, 18)"
143,"(14, 18)","(13, 18)","(15, 18)","(14, 17)","(14, 19)"
144,"(14, 19)","(13, 19)","(15, 19)","(14, 18)",
145,"(14, 21)","(13, 21)","(15, 21)",,
146,"(14, 27)","(13, 27)","(15, 27)",,
147,"(14, 33)","(13, 33)","(15, 33)",,
148,"(15, 9)","(14, 9)","(16, 9)",,
149,"(15, 15)","(14, 15)","(16, 15)",,"(15, 16)"
150,"(15, 16)","(14, 16)",,"(15, 15)","(15, 17)"
151,"(15, 17)","(14, 17)","(16, 17)","(15, 16)","(15, 18)"
152,"(15, 18)","(14, 18)","(16, 18)","(15, 17)","(15, 19)"
153,"(15, 19)","(14, 19)","(16, 19)","(15, 18)",
154,"(15, 21)","(14, 21)","(16, 21)",,
155,"(15, 27)","(14, 27)","(16, 27)",,
156,"(15, 33)","(14, 33)","(16, 33)",,
157,"(16, 5)",,"(17, 5)",,"(16, 6)"
158,"(16, 6)",,,"(16, 5)","(16, 7)"
159,"(16, 7)",,,"(16, 6)","(16, 8)"
160,"(16, 8)",,,"(16, 7)","(16, 9)"
161,"(16, 9)","(15, 9)","(17, 9)","(16, 8)",
162,"(16, 12)",,"(17, 12)",,"(16, 13)"
163,"(16, 13)",,,"(16, 12)","(16, 14)"
164,"(16, 14)",,,"(16, 13)","(16, 15)"
165,"(16, 15)","(15, 15)","(17, 15)","(16, 14)",
166,"(16, 17)","(15, 17)","(17, 17)",,"(16, 18)"
167,"(16, 18)","(15, 18)","(17, 18)","(16, 17)","(16, 19)"
168,"(16, 19)","(15, 19)","(17, 19)","(16, 18)",
169,"(16, 21)","(15, 21)","(17, 21)",,
170,"(16, 24)",,"(17, 24)",,"(16, 25)"
171,"(16, 25)",,,"(16, 24)","(16, 26)"
172,"(16, 26)",,,"(16, 25)","(16, 27)"
173,"(16, 27)","(15, 27)","(17, 27)","(16, 26)",
174,"(16, 33)","(15, 33)","(17, 33)",,
175,"(17, 5)","(16, 5)","(18, 5)",,
176,"(17, 9)","(16, 9)","(18, 9)",,
177,"(17, 12)","(16, 12)","(18, 12)",,
178,"(17, 15)","(16, 15)","(18, 15)",,
179,"(17, 17)","(16, 17)",,,"(17, 18)"
180,"(17, 18)","(16, 18)",,"(17, 17)","(17, 19)"
181,"(17, 19)","(16, 19)",,"(17, 18)",
182,"(17, 21)","(16, 21)","(18, 21)",,
183,"(17, 24)","(16, 24)","(18, 24)",,
184,"(17, 27)","(16, 27)","(18, 27)",,
185,"(17, 33)","(16, 33)","(18, 33)",,
186,"(18, 5)","(17, 5)","(19, 5)",,
187,"(18, 9)","(17, 9)","(19, 9)",,
188,"(18, 12)","(17, 12)","(19, 12)",,
189,"(18, 15)","(17, 15)","(19, 15)",,
190,"(18, 21)","(17, 21)","(19, 21)",,
191,"(18, 24)","(17, 24)","(19, 24)",,
192,"(18, 27)","(17, 27)","(19, 27)",,
193,"(18, 33)","(17, 33)","(19, 33)",,
194,"(19, 5)","(18, 5)","(20, 5)",,
195,"(19, 9)","(18, 9)","(20, 9)",,"(19, 10)"
196,"(19, 10)",,,"(19, 9)","(19, 11)"
197,"(19, 11)",,,"(19, 10)","(19, 12)"
198,"(19, 12)","(18, 12)",,"(19, 11)",
199,"(19, 15)","(18, 15)",,,"(19, 16)"
200,"(19, 16)",,,"(19, 15)","(19, 17)"
201,"(19, 17)",,,"(19, 16)","(19, 18)"
202,"(19, 18)",,"(20, 18)","(19, 17)","(19, 19)"
203,"(19, 19)",,,"(19, 18)","(19, 20)"
204,"(19, 20)",,,"(19, 19)","(19, 21)"
205,"(19, 21)","(18, 21)",,"(19, 20)","(19, 22)"
206,"(19, 22)",,,"(19, 21)","(19, 23)"
207,"(19, 23)",,,"(19, 22)","(19, 24)"
208,"(19, 24)","(18, 24)","(20, 24)","(19, 23)",
209,"(19, 27)","(18, 27)","(20, 27)",,
210,"(19, 33)","(18, 33)","(20, 33)",,
211,"(20, 5)","(19, 5)","(21, 5)",,
212,"(20, 9)","(19, 9)","(21, 9)",,
213,"(20, 18)","(19, 18)","(21, 18)",,
214,"(20, 24)","(19, 24)","(21, 24)",,
215,"(20, 27)","(19, 27)","(21, 27)",,
216,"(20, 33)","(19, 33)","(21, 33)",,
217,"(21, 5)","(20, 5)","(22, 5)",,
218,"(21, 9)","(20, 9)","(22, 9)",,
219,"(21, 18)","(20, 18)","(22, 18)",,
220,"(21, 24)","(20, 24)","(22, 24)",,
221,"(21, 27)","(20, 27)","(22, 27)",,
222,"(21, 33)","(20, 33)","(22, 33)",,
223,"(22, 5)","(21, 5)","(23, 5)",,"(22, 6)"
224,"(22, 6)",,,"(22, 5)","(22, 7)"
225,"(22, 7)",,,"(22, 6)","(22, 8)"
226,"(22, 8)",,,"(22, 7)","(22, 9)"
227,"(22, 9)","(21, 9)","(23, 9)","(22, 8)","(22, 10)"
228,"(22, 10)",,,"(22, 9)","(22, 11)"
229,"(22, 11)",,,"(22, 10)","(22, 12)"
230,"(22, 12)",,"(23, 12)","(22, 11)","(22, 13)"
231,"(22, 13)",,,"(22, 12)","(22, 14)"
232,"(22, 14)",,,"(22, 13)","(22, 15)"
233,"(22, 15)",,,"(22, 14)","(22, 16)"
234,"(22, 16)",,,"(22, 15)","(22, 17)"
235,"(22, 17)",,,"(22, 16)","(22, 18)"
236,"(22, 18)","(21, 18)","(23, 18)","(22, 17)","(22, 19)"
237,"(22, 19)",,,"(22, 18)","(22, 20)"
238,"(22, 20)",,,"(22, 19)","(22, 21)"
239,"(22, 21)",,,"(22, 20)","(22, 22)"
240,"(22, 22)",,,"(22, 21)","(22, 23)"
241,"(22, 23)",,,"(22, 22)","(22, 24)"
242,"(22, 24)","(21, 24)","(23, 24)","(22, 23)","(22, 25)"
243,"(22, 25)",,,"(22, 24)","(22, 26)"
244,"(22, 26)",,,"(22, 25)","(22, 27)"
245,"(22, 27)","(21, 27)",,"(22, 26)","(22, 28)"
246,"(22, 28)",,,"(22, 27)","(22, 29)"
247,"(22, 29)",,,"(22, 28)","(22, 30)"
248,"(22, 30)",,,"(22, 29)","(22, 31)"
249,"(22, 31)",,,"(22, 30)","(22, 32)"
250,"(22, 32)",,,"(22, 31)","(22, 33)"
251,"(22, 33)","(21, 33)","(23, 33)","(22, 32)",
252,"(23, 5)","(22, 5)","(24, 5)",,
253,"(23, 9)","(22, 9)","(24, 9)",,
254,"(23, 12)","(22, 12)","(24, 12)",,
255,"(23, 18)","(22, 18)","(24, 18)",,
256,"(23, 24)","(22, 24)","(24, 24)",,
257,"(23, 33)","(22, 33)","(24, 33)",,
258,"(24, 5)","(23, 5)","(25, 5)",,
259,"(24, 9)","(23, 9)","(25, 9)",,
260,"(24, 12)","(23, 12)","(25, 12)",,
261,"(24, 18)","(23, 18)","(25, 18)",,
262,"(24, 24)","(23, 24)","(25, 24)",,
263,"(24, 33)","(23, 33)","(25, 33)",,
264,"(25, 5)","(24, 5)","(26, 5)",,
265,"(25, 9)","(24, 9)","(26, 9)",,
266,"(25, 12)","(24, 12)","(26, 12)",,
267,"(25, 18)","(24, 18)","(26, 18)",,
268,"(25, 24)","(24, 24)","(26, 24)",,
269,"(25, 33)","(24, 33)","(26, 33)",,
270,"(26, 5)","(25, 5)","(27, 5)",,
271,"(26, 9)","(25, 9)","(27, 9)",,
272,"(26, 12)","(25, 12)","(27, 12)",,
273,"(26, 18)","(25, 18)","(27, 18)",,
274,"(26, 24)","(25, 24)","(27, 24)",,
275,"(26, 33)","(25, 33)","(27, 33)",,
276,"(27, 5)","(26, 5)",,,"(27, 6)"
277,"(27, 6)",,,"(27, 5)","(27, 7)"
278,"(27, 7)",,,"(27, 6)","(27, 8)"
279,"(27, 8)",,,"(27, 7)","(27, 9)"
280,"(27, 9)","(26, 9)",,"(27, 8)","(27, 10)"
281,"(27, 10)",,,"(27, 9)","(27, 11)"
282,"(27, 11)",,,"(27, 10)","(27, 12)"
283,"(27, 12)","(26, 12)",,"(27, 11)",
284,"(27, 18)","(26, 18)","(28, 18)",,
285,"(27, 24)","(26, 24)",,,"(27, 25)"
286,"(27, 25)",,,"(27, 24)","(27, 26)"
287,"(27, 26)",,,"(27, 25)","(27, 27)"
288,"(27, 27)",,,"(27, 26)","(27, 28)"
289,"(27, 28)",,,"(27, 27)","(27, 29)"
290,"(27, 29)",,,"(27, 28)","(27, 30)"
291,"(27, 30)",,,"(27, 29)","(27, 31)"
292,"(27, 31)",,,"(27, 30)","(27, 32)"
293,"(27, 32)",,,"(27, 31)","(27, 33)"
294,"(27, 33)","(26, 33)",,"(27, 32)",
295,"(28, 18)","(27, 18)","(29, 18)",,
296,"(0, 18)","(-1, 18)","(1, 18)",,
297,"(-1, 18)","(30, 18)","(0, 18)",,
298,"(29, 18)","(28, 18)","(30, 18)",,
299,"(30, 18)","(29, 18)","(-1, 18)",,
